OrderID,Date,Customer,Region,Category,MenuItem,Quantity,Price,Sales
1001,00:00.0,Customer_58,North,Asian,Salad,4,657,2628
1002,17:09.9,Customer_13,South,Fast Food,Salad,5,675,3375
1003,34:19.7,Customer_141,West,Main Course,Tacos,3,229,687
1004,51:29.6,Customer_126,North,Fast Food,Tacos,5,921,4605
1005,08:39.4,Customer_115,North,Asian,Sushi,5,462,2310
1006,25:49.3,Customer_72,West,Healthy,Curry,2,804,1608
1007,42:59.1,Customer_53,West,Asian,Salad,3,918,2754
1008,00:09.0,Customer_280,East,Healthy,Sandwich,3,792,2376
1009,17:18.9,Customer_45,North,Asian,Curry,3,391,1173
1010,34:28.7,Customer_217,West,Main Course,Salad,5,470,2350
1011,51:38.6,Customer_17,South,Healthy,Noodles,4,893,3572
1012,08:48.4,Customer_16,North,Healthy,Steak,3,128,384
1013,25:58.3,Customer_48,East,Fast Food,Tacos,5,248,1240
1014,43:08.2,Customer_112,West,Asian,Steak,2,878,1756
1015,00:18.0,Customer_120,North,Continental,Burger,4,395,1580
1016,17:27.9,Customer_259,North,Continental,Pizza,2,110,220
1017,34:37.7,Customer_14,West,Fast Food,Noodles,4,611,2444
1018,51:47.6,Customer_288,West,Asian,Sushi,5,775,3875
1019,08:57.4,Customer_102,West,Main Course,Noodles,1,212,212
1020,26:07.3,Customer_280,North,Fast Food,Steak,4,286,1144
1021,43:17.2,Customer_215,West,Healthy,Steak,2,906,1812
1022,00:27.0,Customer_113,West,Main Course,Salad,5,843,4215
1023,17:36.9,Customer_230,North,Asian,Salad,4,326,1304
1024,34:46.7,Customer_143,North,Healthy,Burger,1,409,409
1025,51:56.6,Customer_4,East,Continental,Curry,1,197,197
1026,09:06.5,Customer_82,South,Asian,Burger,3,154,462
1027,26:16.3,Customer_217,North,Healthy,Sushi,3,722,2166
1028,43:26.2,Customer_175,South,Asian,Salad,2,763,1526
1029,00:36.0,Customer_143,East,Healthy,Sushi,4,857,3428
1030,17:45.9,Customer_80,East,Asian,Salad,4,505,2020
1031,34:55.7,Customer_111,West,Continental,Salad,3,168,504
1032,52:05.6,Customer_173,East,Fast Food,Salad,4,411,1644
1033,09:15.5,Customer_53,West,Healthy,Sandwich,4,388,1552
1034,26:25.3,Customer_48,West,Healthy,Pasta,1,861,861
1035,43:35.2,Customer_195,North,Continental,Noodles,3,647,1941
1036,00:45.0,Customer_50,North,Fast Food,Sandwich,5,850,4250
1037,17:54.9,Customer_184,South,Asian,Pizza,3,247,741
1038,35:04.8,Customer_177,West,Healthy,Steak,5,566,2830
1039,52:14.6,Customer_136,West,Fast Food,Tacos,1,838,838
1040,09:24.5,Customer_23,South,Asian,Sushi,2,343,686
1041,26:34.3,Customer_236,West,Healthy,Pasta,4,590,2360
1042,43:44.2,Customer_275,East,Healthy,Pizza,1,948,948
1043,00:54.0,Customer_64,West,Asian,Curry,4,606,2424
1044,18:03.9,Customer_194,West,Continental,Salad,2,464,928
1045,35:13.8,Customer_41,West,Fast Food,Salad,2,581,1162
1046,52:23.6,Customer_283,North,Healthy,Tacos,1,300,300
1047,09:33.5,Customer_151,East,Asian,Tacos,2,253,506
1048,26:43.3,Customer_186,West,Healthy,Tacos,5,549,2745
1049,43:53.2,Customer_296,East,Asian,Pizza,2,600,1200
1050,01:03.1,Customer_99,East,Healthy,Steak,4,172,688
1051,18:12.9,Customer_36,East,Main Course,Steak,4,812,3248
1052,35:22.8,Customer_24,South,Continental,Sandwich,4,395,1580
1053,52:32.6,Customer_117,West,Fast Food,Sushi,4,116,464
1054,09:42.5,Customer_149,North,Continental,Sandwich,5,740,3700
1055,26:52.3,Customer_41,North,Continental,Noodles,3,316,948
1056,44:02.2,Customer_120,North,Fast Food,Curry,1,160,160
1057,01:12.1,Customer_52,North,Continental,Sushi,4,715,2860
1058,18:21.9,Customer_195,West,Main Course,Noodles,2,141,282
1059,35:31.8,Customer_143,North,Asian,Salad,4,124,496
1060,52:41.6,Customer_233,East,Fast Food,Pasta,2,138,276
1061,09:51.5,Customer_187,South,Asian,Noodles,2,902,1804
1062,27:01.4,Customer_84,North,Healthy,Pasta,4,230,920
1063,44:11.2,Customer_190,East,Main Course,Salad,5,597,2985
1064,01:21.1,Customer_182,North,Asian,Burger,2,328,656
1065,18:30.9,Customer_108,West,Asian,Curry,2,207,414
1066,35:40.8,Customer_137,East,Fast Food,Pasta,4,271,1084
1067,52:50.6,Customer_37,West,Healthy,Salad,2,534,1068
1068,10:00.5,Customer_88,North,Fast Food,Noodles,2,577,1154
1069,27:10.4,Customer_274,East,Healthy,Pasta,4,201,804
1070,44:20.2,Customer_126,East,Fast Food,Sushi,4,965,3860
1071,01:30.1,Customer_84,East,Asian,Burger,1,623,623
1072,18:39.9,Customer_237,North,Asian,Sandwich,5,374,1870
1073,35:49.8,Customer_195,South,Main Course,Sushi,5,712,3560
1074,52:59.6,Customer_139,South,Asian,Sandwich,2,143,286
1075,10:09.5,Customer_286,West,Continental,Salad,5,916,4580
1076,27:19.4,Customer_113,South,Asian,Tacos,2,116,232
1077,44:29.2,Customer_167,North,Continental,Sushi,1,429,429
1078,01:39.1,Customer_29,East,Asian,Sushi,4,668,2672
1079,18:48.9,Customer_118,East,Continental,Salad,4,922,3688
1080,35:58.8,Customer_17,North,Continental,Steak,4,596,2384
1081,53:08.7,Customer_162,East,Asian,Salad,5,914,4570
1082,10:18.5,Customer_206,South,Continental,Curry,1,111,111
1083,27:28.4,Customer_138,West,Main Course,Burger,5,417,2085
1084,44:38.2,Customer_34,North,Healthy,Curry,5,691,3455
1085,01:48.1,Customer_109,East,Continental,Pizza,1,315,315
1086,18:57.9,Customer_291,North,Continental,Steak,1,438,438
1087,36:07.8,Customer_162,South,Main Course,Steak,1,875,875
1088,53:17.7,Customer_109,East,Main Course,Steak,1,760,760
1089,10:27.5,Customer_256,East,Fast Food,Burger,4,180,720
1090,27:37.4,Customer_203,East,Healthy,Curry,3,826,2478
1091,44:47.2,Customer_235,East,Fast Food,Sandwich,3,584,1752
1092,01:57.1,Customer_74,North,Continental,Noodles,1,473,473
1093,19:07.0,Customer_136,South,Main Course,Burger,3,809,2427
1094,36:16.8,Customer_72,South,Continental,Tacos,3,299,897
1095,53:26.7,Customer_127,West,Asian,Noodles,1,636,636
1096,10:36.5,Customer_288,North,Healthy,Salad,3,565,1695
1097,27:46.4,Customer_276,South,Asian,Tacos,5,188,940
1098,44:56.2,Customer_135,North,Main Course,Pizza,2,367,734
1099,02:06.1,Customer_300,North,Main Course,Pasta,2,754,1508
1100,19:16.0,Customer_220,South,Main Course,Pasta,1,670,670
1101,36:25.8,Customer_299,West,Healthy,Sandwich,4,588,2352
1102,53:35.7,Customer_205,West,Fast Food,Sushi,1,976,976
1103,10:45.5,Customer_186,West,Continental,Tacos,4,637,2548
1104,27:55.4,Customer_113,East,Continental,Steak,2,146,292
1105,45:05.3,Customer_71,South,Continental,Curry,1,387,387
1106,02:15.1,Customer_261,East,Continental,Pasta,5,877,4385
1107,19:25.0,Customer_253,East,Continental,Sushi,3,115,345
1108,36:34.8,Customer_47,East,Fast Food,Pasta,4,810,3240
1109,53:44.7,Customer_25,North,Asian,Burger,3,500,1500
1110,10:54.5,Customer_57,North,Healthy,Curry,3,893,2679
1111,28:04.4,Customer_79,South,Asian,Sushi,1,185,185
1112,45:14.3,Customer_82,South,Asian,Pasta,3,349,1047
1113,02:24.1,Customer_217,North,Continental,Sushi,5,490,2450
1114,19:34.0,Customer_33,North,Continental,Pizza,3,881,2643
1115,36:43.8,Customer_198,East,Fast Food,Pizza,1,434,434
1116,53:53.7,Customer_196,West,Healthy,Curry,5,728,3640
1117,11:03.6,Customer_240,West,Main Course,Salad,2,618,1236
1118,28:13.4,Customer_271,West,Asian,Sandwich,3,236,708
1119,45:23.3,Customer_129,West,Main Course,Pasta,1,982,982
1120,02:33.1,Customer_284,West,Healthy,Steak,2,787,1574
1121,19:43.0,Customer_6,East,Asian,Pasta,2,939,1878
1122,36:52.8,Customer_59,South,Main Course,Curry,4,597,2388
1123,54:02.7,Customer_275,North,Main Course,Burger,5,926,4630
1124,11:12.6,Customer_137,East,Fast Food,Pasta,3,826,2478
1125,28:22.4,Customer_175,West,Healthy,Steak,1,576,576
1126,45:32.3,Customer_58,North,Healthy,Tacos,4,693,2772
1127,02:42.1,Customer_151,East,Healthy,Tacos,5,322,1610
1128,19:52.0,Customer_223,West,Asian,Tacos,4,471,1884
1129,37:01.9,Customer_81,East,Fast Food,Tacos,5,501,2505
1130,54:11.7,Customer_233,North,Continental,Curry,5,542,2710
1131,11:21.6,Customer_2,South,Asian,Tacos,3,589,1767
1132,28:31.4,Customer_135,West,Healthy,Pizza,5,714,3570
1133,45:41.3,Customer_257,North,Asian,Pizza,4,372,1488
1134,02:51.1,Customer_92,North,Main Course,Noodles,5,625,3125
1135,20:01.0,Customer_260,South,Asian,Sandwich,3,258,774
1136,37:10.9,Customer_55,East,Asian,Sushi,3,251,753
1137,54:20.7,Customer_153,South,Healthy,Pizza,4,719,2876
1138,11:30.6,Customer_260,South,Main Course,Sushi,2,287,574
1139,28:40.4,Customer_102,East,Healthy,Noodles,2,912,1824
1140,45:50.3,Customer_79,East,Main Course,Sandwich,5,197,985
1141,03:00.1,Customer_192,East,Main Course,Pizza,1,230,230
1142,20:10.0,Customer_83,North,Main Course,Pizza,5,904,4520
1143,37:19.9,Customer_277,North,Healthy,Sandwich,4,270,1080
1144,54:29.7,Customer_272,West,Main Course,Sandwich,4,282,1128
1145,11:39.6,Customer_1,West,Fast Food,Sushi,4,463,1852
1146,28:49.4,Customer_166,South,Fast Food,Salad,4,138,552
1147,45:59.3,Customer_251,South,Continental,Pasta,4,626,2504
1148,03:09.2,Customer_10,West,Fast Food,Burger,3,987,2961
1149,20:19.0,Customer_58,South,Continental,Tacos,2,596,1192
1150,37:28.9,Customer_186,East,Fast Food,Noodles,4,615,2460
1151,54:38.7,Customer_158,North,Healthy,Steak,1,448,448
1152,11:48.6,Customer_123,West,Continental,Salad,1,496,496
1153,28:58.4,Customer_30,North,Asian,Pasta,1,821,821
1154,46:08.3,Customer_124,West,Asian,Burger,1,260,260
1155,03:18.2,Customer_291,North,Fast Food,Pizza,3,115,345
1156,20:28.0,Customer_41,West,Asian,Salad,1,592,592
1157,37:37.9,Customer_44,North,Fast Food,Salad,4,525,2100
1158,54:47.7,Customer_249,East,Fast Food,Curry,5,207,1035
1159,11:57.6,Customer_36,West,Asian,Noodles,1,993,993
1160,29:07.5,Customer_273,West,Asian,Steak,3,549,1647
1161,46:17.3,Customer_65,West,Main Course,Noodles,3,410,1230
1162,03:27.2,Customer_66,East,Continental,Sushi,1,838,838
1163,20:37.0,Customer_244,North,Fast Food,Tacos,5,269,1345
1164,37:46.9,Customer_282,West,Asian,Pasta,1,645,645
1165,54:56.7,Customer_85,North,Continental,Sushi,3,513,1539
1166,12:06.6,Customer_136,East,Asian,Curry,2,350,700
1167,29:16.5,Customer_271,South,Asian,Sushi,4,858,3432
1168,46:26.3,Customer_217,West,Main Course,Sandwich,3,880,2640
1169,03:36.2,Customer_109,East,Fast Food,Pasta,1,240,240
1170,20:46.0,Customer_277,North,Fast Food,Tacos,4,373,1492
1171,37:55.9,Customer_103,West,Healthy,Pizza,1,515,515
1172,55:05.8,Customer_160,North,Main Course,Sandwich,1,707,707
1173,12:15.6,Customer_205,South,Continental,Sandwich,2,838,1676
1174,29:25.5,Customer_192,West,Main Course,Pasta,4,990,3960
1175,46:35.3,Customer_225,West,Continental,Sandwich,4,138,552
1176,03:45.2,Customer_265,North,Fast Food,Pizza,2,913,1826
1177,20:55.0,Customer_232,West,Healthy,Steak,3,128,384
1178,38:04.9,Customer_62,East,Healthy,Noodles,1,576,576
1179,55:14.8,Customer_127,East,Fast Food,Pasta,5,417,2085
1180,12:24.6,Customer_116,South,Asian,Burger,1,344,344
1181,29:34.5,Customer_33,East,Main Course,Sushi,1,847,847
1182,46:44.3,Customer_174,South,Healthy,Pizza,3,796,2388
1183,03:54.2,Customer_11,North,Asian,Tacos,1,371,371
1184,21:04.1,Customer_284,North,Continental,Salad,2,539,1078
1185,38:13.9,Customer_118,South,Healthy,Noodles,2,847,1694
1186,55:23.8,Customer_113,East,Continental,Steak,4,338,1352
1187,12:33.6,Customer_4,East,Asian,Pizza,5,476,2380
1188,29:43.5,Customer_37,South,Continental,Steak,1,365,365
1189,46:53.3,Customer_31,South,Asian,Pizza,1,458,458
1190,04:03.2,Customer_118,North,Continental,Burger,3,439,1317
1191,21:13.1,Customer_35,South,Main Course,Pizza,2,488,976
1192,38:22.9,Customer_17,East,Healthy,Pizza,5,676,3380
1193,55:32.8,Customer_170,South,Healthy,Burger,4,788,3152
1194,12:42.6,Customer_37,South,Asian,Tacos,2,102,204
1195,29:52.5,Customer_264,South,Continental,Curry,4,528,2112
1196,47:02.4,Customer_122,North,Fast Food,Tacos,3,241,723
1197,04:12.2,Customer_143,South,Healthy,Burger,3,475,1425
1198,21:22.1,Customer_249,West,Continental,Noodles,1,769,769
1199,38:31.9,Customer_110,West,Continental,Salad,5,423,2115
1200,55:41.8,Customer_277,West,Main Course,Curry,4,245,980
1201,12:51.6,Customer_68,East,Fast Food,Pasta,2,392,784
1202,30:01.5,Customer_293,East,Healthy,Sandwich,3,764,2292
1203,47:11.4,Customer_296,South,Main Course,Pizza,1,531,531
1204,04:21.2,Customer_243,West,Fast Food,Salad,1,804,804
1205,21:31.1,Customer_125,North,Healthy,Tacos,4,684,2736
1206,38:40.9,Customer_243,West,Main Course,Burger,3,498,1494
1207,55:50.8,Customer_209,West,Fast Food,Noodles,5,916,4580
1208,13:00.7,Customer_98,East,Healthy,Salad,3,988,2964
1209,30:10.5,Customer_49,East,Fast Food,Steak,4,443,1772
1210,47:20.4,Customer_50,North,Continental,Steak,4,239,956
1211,04:30.2,Customer_221,East,Asian,Pasta,3,286,858
1212,21:40.1,Customer_182,North,Asian,Tacos,4,904,3616
1213,38:49.9,Customer_217,East,Continental,Burger,3,160,480
1214,55:59.8,Customer_211,West,Fast Food,Noodles,2,479,958
1215,13:09.7,Customer_240,West,Continental,Steak,3,809,2427
1216,30:19.5,Customer_28,North,Asian,Burger,3,906,2718
1217,47:29.4,Customer_51,North,Asian,Salad,4,539,2156
1218,04:39.2,Customer_32,East,Fast Food,Burger,4,418,1672
1219,21:49.1,Customer_207,East,Asian,Burger,1,401,401
1220,38:58.9,Customer_174,North,Continental,Curry,1,443,443
1221,56:08.8,Customer_56,North,Fast Food,Sandwich,2,110,220
1222,13:18.7,Customer_128,West,Continental,Steak,1,161,161
1223,30:28.5,Customer_99,West,Fast Food,Sandwich,3,944,2832
1224,47:38.4,Customer_98,North,Asian,Salad,4,325,1300
1225,04:48.2,Customer_275,West,Healthy,Noodles,1,252,252
1226,21:58.1,Customer_230,South,Fast Food,Sandwich,1,810,810
1227,39:08.0,Customer_72,East,Fast Food,Sushi,2,663,1326
1228,56:17.8,Customer_217,West,Healthy,Tacos,2,871,1742
1229,13:27.7,Customer_94,South,Asian,Salad,3,670,2010
1230,30:37.5,Customer_143,North,Continental,Pasta,4,683,2732
1231,47:47.4,Customer_237,West,Main Course,Pizza,2,759,1518
1232,04:57.2,Customer_128,North,Healthy,Noodles,1,960,960
1233,22:07.1,Customer_39,East,Main Course,Curry,4,674,2696
1234,39:17.0,Customer_227,North,Asian,Sandwich,4,409,1636
1235,56:26.8,Customer_282,South,Fast Food,Curry,1,984,984
1236,13:36.7,Customer_51,North,Fast Food,Sushi,2,342,684
1237,30:46.5,Customer_26,South,Asian,Sandwich,1,592,592
1238,47:56.4,Customer_277,West,Continental,Pizza,4,465,1860
1239,05:06.3,Customer_8,West,Continental,Pizza,5,429,2145
1240,22:16.1,Customer_48,South,Asian,Burger,5,206,1030
1241,39:26.0,Customer_122,East,Asian,Burger,3,325,975
1242,56:35.8,Customer_86,East,Asian,Steak,1,924,924
1243,13:45.7,Customer_209,East,Asian,Curry,1,317,317
1244,30:55.5,Customer_249,West,Asian,Pasta,3,852,2556
1245,48:05.4,Customer_247,West,Asian,Burger,3,605,1815
1246,05:15.3,Customer_110,East,Fast Food,Noodles,3,358,1074
1247,22:25.1,Customer_206,North,Main Course,Burger,4,987,3948
1248,39:35.0,Customer_31,East,Continental,Burger,1,873,873
1249,56:44.8,Customer_85,North,Main Course,Salad,4,616,2464
1250,13:54.7,Customer_195,East,Fast Food,Sandwich,3,872,2616
1251,31:04.6,Customer_2,North,Healthy,Curry,1,153,153
1252,48:14.4,Customer_200,West,Main Course,Salad,4,146,584
1253,05:24.3,Customer_136,East,Healthy,Salad,4,826,3304
1254,22:34.1,Customer_233,East,Fast Food,Curry,3,788,2364
1255,39:44.0,Customer_147,South,Continental,Pizza,1,620,620
1256,56:53.8,Customer_217,East,Healthy,Burger,3,198,594
1257,14:03.7,Customer_285,North,Fast Food,Pasta,1,119,119
1258,31:13.6,Customer_250,South,Asian,Pizza,5,989,4945
1259,48:23.4,Customer_80,East,Continental,Salad,2,852,1704
1260,05:33.3,Customer_98,East,Asian,Sushi,2,672,1344
1261,22:43.1,Customer_152,West,Continental,Sushi,2,990,1980
1262,39:53.0,Customer_112,South,Continental,Tacos,3,589,1767
1263,57:02.9,Customer_30,North,Main Course,Burger,5,518,2590
1264,14:12.7,Customer_297,East,Continental,Burger,1,789,789
1265,31:22.6,Customer_278,West,Main Course,Pizza,4,949,3796
1266,48:32.4,Customer_32,East,Healthy,Pizza,1,161,161
1267,05:42.3,Customer_161,South,Continental,Pasta,4,244,976
1268,22:52.1,Customer_30,North,Healthy,Pasta,1,315,315
1269,40:02.0,Customer_26,West,Continental,Sushi,5,102,510
1270,57:11.9,Customer_300,East,Main Course,Sushi,4,259,1036
1271,14:21.7,Customer_245,North,Asian,Curry,3,838,2514
1272,31:31.6,Customer_258,East,Continental,Steak,1,880,880
1273,48:41.4,Customer_272,East,Fast Food,Salad,1,219,219
1274,05:51.3,Customer_81,South,Asian,Burger,4,992,3968
1275,23:01.2,Customer_30,South,Main Course,Sushi,3,188,564
1276,40:11.0,Customer_261,East,Fast Food,Sushi,3,428,1284
1277,57:20.9,Customer_42,West,Healthy,Pasta,5,679,3395
1278,14:30.7,Customer_96,South,Main Course,Burger,3,456,1368
1279,31:40.6,Customer_36,South,Asian,Tacos,3,709,2127
1280,48:50.4,Customer_35,South,Healthy,Tacos,3,366,1098
1281,06:00.3,Customer_121,South,Healthy,Curry,2,716,1432
1282,23:10.2,Customer_207,North,Main Course,Salad,5,422,2110
1283,40:20.0,Customer_62,East,Asian,Tacos,1,734,734
1284,57:29.9,Customer_292,North,Main Course,Curry,4,640,2560
1285,14:39.7,Customer_127,North,Fast Food,Tacos,1,748,748
1286,31:49.6,Customer_297,East,Fast Food,Pasta,5,294,1470
1287,48:59.4,Customer_21,South,Continental,Burger,4,837,3348
1288,06:09.3,Customer_42,West,Healthy,Pasta,5,431,2155
1289,23:19.2,Customer_215,South,Continental,Pizza,3,269,807
1290,40:29.0,Customer_299,South,Asian,Pasta,4,620,2480
1291,57:38.9,Customer_290,South,Fast Food,Burger,3,562,1686
1292,14:48.7,Customer_268,South,Continental,Tacos,1,139,139
1293,31:58.6,Customer_162,West,Fast Food,Steak,1,636,636
1294,49:08.5,Customer_134,North,Fast Food,Curry,4,360,1440
1295,06:18.3,Customer_105,West,Fast Food,Steak,4,494,1976
1296,23:28.2,Customer_161,East,Main Course,Curry,5,325,1625
1297,40:38.0,Customer_123,South,Continental,Pasta,5,223,1115
1298,57:47.9,Customer_136,West,Healthy,Steak,3,137,411
1299,14:57.7,Customer_203,East,Continental,Tacos,4,427,1708
1300,32:07.6,Customer_68,West,Healthy,Sushi,1,350,350
1301,49:17.5,Customer_154,South,Continental,Steak,5,275,1375
1302,06:27.3,Customer_235,South,Continental,Pizza,5,701,3505
1303,23:37.2,Customer_162,East,Fast Food,Pasta,1,553,553
1304,40:47.0,Customer_38,West,Healthy,Curry,5,136,680
1305,57:56.9,Customer_5,South,Healthy,Curry,3,415,1245
1306,15:06.8,Customer_235,East,Healthy,Burger,4,787,3148
1307,32:16.6,Customer_289,West,Continental,Tacos,1,895,895
1308,49:26.5,Customer_52,West,Healthy,Curry,4,692,2768
1309,06:36.3,Customer_38,East,Continental,Pizza,5,213,1065
1310,23:46.2,Customer_276,West,Main Course,Burger,5,139,695
1311,40:56.0,Customer_110,West,Fast Food,Salad,1,400,400
1312,58:05.9,Customer_260,South,Asian,Sushi,3,323,969
1313,15:15.8,Customer_136,South,Main Course,Pizza,2,417,834
1314,32:25.6,Customer_68,South,Healthy,Noodles,1,448,448
1315,49:35.5,Customer_179,East,Fast Food,Steak,2,214,428
1316,06:45.3,Customer_36,North,Fast Food,Steak,2,797,1594
1317,23:55.2,Customer_126,West,Fast Food,Sandwich,3,422,1266
1318,41:05.1,Customer_190,East,Fast Food,Sushi,2,667,1334
1319,58:14.9,Customer_146,North,Healthy,Noodles,2,139,278
1320,15:24.8,Customer_81,North,Fast Food,Noodles,3,965,2895
1321,32:34.6,Customer_225,East,Asian,Steak,2,139,278
1322,49:44.5,Customer_279,North,Asian,Burger,2,958,1916
1323,06:54.3,Customer_155,South,Fast Food,Tacos,2,848,1696
1324,24:04.2,Customer_271,East,Continental,Sandwich,1,388,388
1325,41:14.1,Customer_5,West,Healthy,Curry,1,361,361
1326,58:23.9,Customer_284,South,Asian,Sushi,1,315,315
1327,15:33.8,Customer_154,West,Asian,Tacos,3,246,738
1328,32:43.6,Customer_54,North,Asian,Pasta,5,435,2175
1329,49:53.5,Customer_69,South,Main Course,Noodles,2,267,534
1330,07:03.4,Customer_136,West,Main Course,Steak,2,191,382
1331,24:13.2,Customer_60,East,Asian,Pizza,3,452,1356
1332,41:23.1,Customer_55,North,Continental,Pizza,2,670,1340
1333,58:32.9,Customer_284,West,Healthy,Pasta,1,670,670
1334,15:42.8,Customer_80,North,Healthy,Noodles,5,915,4575
1335,32:52.6,Customer_140,West,Asian,Curry,4,780,3120
1336,50:02.5,Customer_145,East,Asian,Curry,2,880,1760
1337,07:12.4,Customer_108,South,Healthy,Pasta,1,462,462
1338,24:22.2,Customer_176,West,Continental,Burger,4,656,2624
1339,41:32.1,Customer_105,North,Main Course,Curry,5,444,2220
1340,58:41.9,Customer_136,East,Main Course,Sushi,4,792,3168
1341,15:51.8,Customer_259,South,Asian,Sandwich,1,269,269
1342,33:01.7,Customer_251,North,Healthy,Sushi,4,455,1820
1343,50:11.5,Customer_129,East,Main Course,Salad,3,290,870
1344,07:21.4,Customer_27,North,Continental,Pizza,4,766,3064
1345,24:31.2,Customer_48,East,Asian,Noodles,2,521,1042
1346,41:41.1,Customer_217,South,Fast Food,Sandwich,2,799,1598
1347,58:50.9,Customer_142,South,Asian,Noodles,3,106,318
1348,16:00.8,Customer_23,North,Fast Food,Tacos,1,232,232
1349,33:10.7,Customer_2,East,Asian,Tacos,2,846,1692
1350,50:20.5,Customer_171,West,Healthy,Sandwich,5,656,3280
